pond_id,doc,biomass_kg,water_temp_c,daily_feed_kg
1,69,342.3,31.4,18.0
2,71,810.1,30.7,27.1
7,80,967.7,28.3,25.2
3,71,275.5,32.3,13.3
6,97,733.7,31.3,25.8
5,68,240.3,27.9,10.1
6,75,839.4,28.5,25.4
5,71,230.3,28.2,12.0
5,57,1039.1,27.1,27.6
5,93,280.5,27.0,11.8
6,61,1060.9,32.6,34.7
6,66,910.8,29.1,27.7
1,101,714.0,28.7,21.1
6,112,893.5,31.1,28.7
4,92,905.4,29.9,28.1
3,110,1048.7,32.6,35.4
4,105,390.7,31.5,17.8
7,79,710.6,29.4,23.6
7,99,240.3,28.6,11.2
6,68,735.4,32.9,27.5
4,77,312.7,31.0,17.4
6,83,686.7,32.7,23.3
3,113,693.8,26.8,17.5
5,105,592.7,32.0,21.2
5,79,646.5,30.5,19.3
2,91,875.7,26.9,22.5
2,59,909.3,30.1,29.3
1,102,617.5,30.8,22.1
1,84,719.6,26.1,19.4
4,82,1034.7,29.2,31.4
4,99,263.7,31.8,17.9
2,89,261.2,28.1,11.3
3,50,233.3,29.2,14.2
5,65,775.0,29.1,24.1
2,57,547.7,28.1,16.5
