pond_id,area_m2,density_pm2,doc,mean_do_mgL,survival_pct,abw_g,total_feed_kg,biomass_kg
1,4107,31,123,5.67,68.3,18.82,1896,4356
2,3181,42,125,4.89,61.6,16.56,2928,4119
3,4118,48,108,3.98,63.7,17.22,2693,3743
4,4590,50,127,5.0,52.9,18.02,3031,5151
5,3608,22,105,3.96,50.9,16.45,1460,3556
6,4206,53,103,5.59,57.4,15.5,2955,4252
7,3061,29,119,4.84,56.9,16.76,2476,3784
8,3695,65,117,4.64,50.0,16.85,3499,5106
9,3873,61,100,4.4,60.8,15.0,3353,5043
10,4966,76,124,5.39,60.6,15.07,4331,5677
11,3429,65,102,4.59,50.0,15.0,3479,4755
12,3553,42,123,3.76,50.0,17.69,3155,4489
13,3817,79,95,3.85,56.2,16.02,4200,5328
14,4986,45,123,6.39,72.0,17.58,3373,4952
15,4707,39,123,6.23,78.1,17.43,2730,4516
16,3069,75,123,5.6,80.5,16.83,4215,5532
17,3468,42,118,4.3,59.0,18.65,2758,4075
18,4644,24,111,6.41,61.1,17.32,1939,3673
19,3116,48,120,5.84,51.4,16.57,3164,4886
20,4712,68,104,5.65,64.9,16.51,3461,4980
21,3563,31,123,4.85,54.4,18.32,2432,4056
22,4836,48,115,4.32,54.1,18.5,3087,4645
23,3587,27,111,3.79,50.3,17.19,2642,3644
24,3869,61,113,6.21,65.2,15.0,4048,5634
25,4324,49,115,4.87,65.7,15.0,2862,4420
26,3252,40,96,4.11,56.5,17.36,2256,3516
27,4114,33,100,4.42,56.1,17.98,1719,3031
28,4010,54,103,5.24,55.0,15.3,2936,4554
29,4568,60,99,4.03,50.0,15.0,3361,4479
30,4993,77,110,6.07,62.4,17.14,4546,6565
31,4329,46,119,5.78,63.6,15.71,2830,4976
32,3818,29,118,5.66,73.9,16.4,2065,3915
33,3813,70,111,4.8,59.8,16.45,3411,4833
34,3836,58,125,5.38,67.8,16.69,3619,4941
35,4628,62,115,5.25,58.3,16.23,3394,5316
36,3642,25,97,5.45,55.1,15.71,1539,3225
37,3334,39,122,3.75,50.0,17.9,2532,4004
38,3668,66,115,4.75,54.4,17.81,3816,4775
39,3045,70,117,3.62,65.9,16.27,3617,5182
40,3212,46,115,4.98,55.0,17.49,2573,4333
