pond_id,density_pm2,mean_dawn_do_mgL,days_below_critical,survival_pct
1,64,5.35,10,67.0
2,47,4.91,10,58.6
3,29,4.72,13,63.8
4,69,3.44,14,48.0
5,64,5.84,7,70.1
6,23,3.9,20,59.3
7,31,4.73,12,66.7
8,20,5.1,12,72.7
9,36,4.95,10,64.4
10,26,5.82,8,80.2
11,63,3.45,16,54.2
12,51,4.53,12,56.3
13,79,4.21,12,49.2
14,65,4.42,13,61.7
15,57,3.36,15,47.9
16,51,3.4,18,54.1
17,23,3.83,17,55.5
18,24,3.91,15,64.6
19,57,4.28,12,57.8
20,20,4.83,12,69.1
21,22,4.9,10,75.6
22,33,4.24,15,58.1
23,73,4.23,9,51.8
24,47,3.65,15,50.9
25,63,4.76,7,64.4
26,45,3.95,11,51.2
27,30,3.11,20,51.5
28,42,4.26,15,55.9
29,25,4.42,11,69.2
30,66,3.68,12,45.0
31,31,4.72,5,65.9
32,42,4.7,10,57.4
33,79,5.11,14,55.1
34,56,4.94,11,63.9
35,47,4.96,9,65.1
